STATION,NAME,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USR0000ARAG,"ARAGONITE UTAH, UT US",2024,,1527,1527,,,,,0,117,5,161,68,11,,,,103,31,27,22,20,,29,27,21,19,13,5320,5320,,,54.7,65.1,44.4,,,,
USR0000ARAG,"ARAGONITE UTAH, UT US",2025,,1464,1464,,,,,0,90,8,160,63,5,,,,100,28,28,24,20,16,30,28,18,18,15,5152,5152,,,55.8,66.1,45.6,,,,
US1UTIR0005,"CEDAR CITY 4.4 SW, UT US",2022,,,,70,38,32,11,,,,,,,6,4.2,1.02,,,,,,,,,,,,,,12.71,28,,,,,,,
US1UTIR0005,"CEDAR CITY 4.4 SW, UT US",2023,,,,93,48,38,16,,,,,,,11,10.8,0.85,,,,,,,,,,,,,,15.39,57,,,,,,,
US1UTIR0005,"CEDAR CITY 4.4 SW, UT US",2024,,,,72,30,,9,,,,,,,,5,1.28,,,,,,,,,,,,,,11.31,27.5,,,,,,,
US1UTIR0005,"CEDAR CITY 4.4 SW, UT US",2025,,,,63,34,3,2,,,,,,,1,1.2,1.36,,,,,,,,,,,,,,14.76,3.6,,,,,,,
USS0011J57S,"BRIGHTON, UT US",2022,,36,36,117,117,209,,12,213,75,74,0,-7,56,,1.2,83,31,23,23,17,15,31,26,21,19,14,9545,9545,37.54,,38.4,49,27.8,,,,
USS0011J57S,"BRIGHTON, UT US",2023,,31,31,,,222,,6,198,92,45,0,-9,122,,,82,30,28,11,11,11,31,28,22,18,15,10019,10019,,,37.9,47.8,28,,,,
USS0011J57S,"BRIGHTON, UT US",2024,,44,44,119,119,214,,2,206,78,72,0,-1,72,,1.3,82,32,26,20,17,15,24,24,24,15,15,9267,9267,40.96,,40,49.9,30.1,,,,
USS0011J57S,"BRIGHTON, UT US",2025,,23,23,116,116,168,,9,195,64,68,0,-12,72,,2.1,82,32,25,22,13,13,32,27,24,10,10,9077,9077,35.05,,40.5,49.8,31.1,,,,
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2022,,106,106,88,88,190,,11,205,55,92,0,-6,49,,2.9,87,25,25,18,18,15,32,26,22,19,11,8480,8480,32.46,,41.3,52.7,30,,,,
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2023,,62,62,113,113,207,,5,189,63,61,0,-9,138,,2.2,86,31,27,15,15,15,30,24,21,19,15,9144,9144,51.37,,40.7,51.4,30.1,,,,
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2024,,115,115,103,103,195,,0,197,41,101,0,1,68,,1.7,88,31,28,21,17,15,25,25,15,15,15,8309,8309,35.94,,42.9,53.6,32.2,,,,
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2025,,94,94,88,88,160,,5,165,41,92,0,-5,70,,2.4,87,31,27,20,20,15,31,26,16,16,16,7957,7957,29.66,,44,54.3,33.7,,,,
USS0009J08S,"HICKERSON PARK, UT US",2022,,0,0,88,88,197,,60,271,63,73,0,-19,34,,1.4,83,26,26,20,20,11,32,23,23,17,15,10711,10711,23.74,,34.5,50.4,18.5,,,,
USS0009J08S,"HICKERSON PARK, UT US",2023,,0,0,100,100,193,,64,285,66,44,0,-23,71,,1.2,86,28,28,24,18,-1,29,28,21,19,8,11614,11614,23.23,,33.6,49.3,17.9,,,,
